«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¥H«H¿àªº(trustworthy)¡C,«H¥ô - §Ú¬Û«H¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¬O¥i¾aªº(reliable)¡C,«H¥ô - ¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¥i¥H³Q«H¥ô¡A¨S¦³¤Ó¦h¤£½T©w©Ê¡C,®Ä¯à´Á±æ - Bot Sync±N«K§Q¦UºØ¸ê°Tªº¨Ï¥Î¡C,®Ä¯à´Á±æ - Bot Sync±N´£¨Ñ¦³§U©ó¨Mµ¦ªº¸ê°T¡C,®Ä¯à´Á±æ - Bot Sync±N¦³§U©ó´£¤ÉºÞ²zÁZ®Ä¡C,§V¤O´Á±æ - §ÚÄ@·N¹Á¸Õ±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N¾Ç²ß±Ä¥Î(¹ê¬I)Bot Sync¡C,§V¤O´Á±æ - §ÚÄ@·N±µ¨ü°ö°V¥H±Ä¥Î(¹ê¬I)Bot Sync¡C,ªÀ·|¼vÅT - Bot Syncªº¨Ï¥Î¡A¯à´£¤É¦Û§Ú§Î¶H©ÎªÀ·|¦a¦ì¡C,ªÀ·|¼vÅT - ·|¦]¬°¹ï¦Û¤v­«­nªº¤H±ÀÂË¡A¨Ï¥ÎBot Sync¡C,ªÀ·|¼vÅT - ¦b²{¤µªÀ·|Àô¹Ò¤¤¡ABot Syncªº¨Ï¥Î©úÅã¼W¥[¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªºª¾ÃÑ¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¨ã³Æ¹ê¬IBot Sync©Ò»Ýªº¸ê·½¡C,«P¦¨±ø¥ó - §Ú»{¬°§Ú­Ì¤½¥q¤w¸g·Ç³Æ¦n¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A¦XBot Syncªº§Þ³NÀô¹Ò¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¦³¯à¤O¹ê¬IBot Sync¡C,§Þ³NÀô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¯à°÷¾Ç²ß¨Ï¥ÎBot Sync¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h¹ï±Ä¥ÎBot Sync«Ü·P¿³½ì¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°ºÞ²z¼h·Pª¾±Ä¥ÎBot Sync¬O¥²­nªº¡C,²ÕÂ´Àô¹Ò - §Ú»{¬°§Ú­Ì¤½¥q¾Ö¦³¾A·íªº¤H¤O¸ê·½¨Ó±Ä¥Î¡]¹ê¬I¡^Bot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|Ä@·N±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú­Ìªº°Ó·~¹Ù¦ñ·|­n¨D±Ä¥ÎBot Sync¡C,Àô¹Ò­I´º - §Ú»{¬°¦pªG¤£±Ä¥ÎBot Sync¡A§Úªº¤½¥q±N­±Á{Ävª§¦H¶Õ¡C,Àô¹Ò­I´º - §Ú»{¬°±Ä¥ÎBot Sync±N¼W¥[¶W¶VÄvª§¹ï¤âªº¯à¤O¡C,Àô¹Ò­I´º - §Ú»{¬°§Ú©Ò¦bªº¦æ·~§O·|Ä@·N±Ä¥ÎBot Sync¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó¦n¥D·N¡C,ºA«× - ±Ä¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡A¬O¤@­Ó©ú´¼ªº·Qªk¡C,ºA«× - §ÚÄ@·N¨Ï¥Î¥H¤H¤u´¼¯à¬°°òÂ¦ªºBot Sync¡A°µ¬°(¤u§@/¥Í¬¡¤W)ªº§U¤â¡C,¨Ï¥Î·N¦V - §Ú¥´ºâ¦b¥¼¨Ó¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - §Ú·|±ÀÂË¨ä¥L¤H¨Ï¥ÎBot Sync¡C,¨Ï¥Î·N¦V - ±N¨Ó§Ú·|¸g±`¨Ï¥ÎBot Sync¡C,©Ê§O,¦~ÄÖ,±Ð¨|µ{«×,¤½¥q­û¤u¼Æ,¸ê°T­I´º½Õ¬d,Â¾¯Å½Õ¬d,¤u§@¦~¸ê,¶ñµª®É¶¡,¶ñµª¬í¼Æ,SAME,Short
4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,3,1,3,2,5,1,1,3,2023/9/23 10:47,148,not,True
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,2,1,2,2023/9/23 15:30,191,not,True
4,4,3,4,4,5,4,4,5,4,4,4,4,5,4,4,5,5,5,4,4,5,4,3,4,5,4,4,4,5,5,4,1,1,2,1,1,1,1,2023/9/23 17:06,100,not,True
4,4,2,4,4,5,4,4,5,4,5,4,5,4,4,5,4,4,5,5,4,4,5,3,4,5,4,4,5,4,4,5,1,1,2,1,1,1,1,2023/9/23 17:08,73,not,False
4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,4,4,2,3,3,4,2,1,3,2023/9/24 15:22,391,not,True
4,3,3,4,3,4,4,4,4,2,3,4,2,4,2,4,4,2,3,3,1,3,2,2,3,3,5,3,3,3,3,4,1,2,2,5,2,1,4,2023/9/24 15:44,442,not,True
4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,2,2,4,3,1,1,2,2023/9/24 15:57,131,not,True
4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,3,2,4,3,3,4,4,4,4,4,1,2,2,4,2,3,2,2023/9/24 17:35,334,not,True
4,4,3,4,4,4,4,4,4,3,4,4,2,2,2,3,3,3,4,4,4,4,4,2,3,4,4,4,4,3,3,3,2,1,2,2,1,1,2,2023/9/24 20:35,353,not,True
4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,2,4,2,1,2,2023/9/24 21:00,354,not,True
4,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,2,4,4,5,4,3,4,4,4,4,4,3,1,1,2,2,2,1,2,2023/9/24 21:21,624,not,True
3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,4,4,4,1,4,2,4,1,3,3,2023/9/24 21:27,315,not,True
3,4,4,5,4,4,4,3,3,4,3,3,4,2,1,1,1,2,4,4,1,3,2,3,2,3,4,4,4,3,3,3,1,2,2,4,1,1,3,2023/9/25 09:20,782,not,True
4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,1,5,2,1,2,2023/9/25 09:45,379,not,True
3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,1,2,3,1,1,1,1,2023/9/25 09:46,291,not,True
4,3,3,5,4,5,4,4,4,2,4,4,2,3,4,4,4,4,5,4,3,5,3,5,4,5,5,3,3,4,4,4,1,3,2,3,1,1,2,2023/9/25 15:29,254,not,True
4,5,3,4,3,5,4,4,5,3,5,4,4,5,5,4,3,5,4,3,5,4,3,3,4,4,4,5,3,4,4,5,2,2,2,1,2,1,3,2023/9/25 17:01,62,not,False
4,4,4,5,5,4,4,5,5,3,5,5,1,2,2,2,1,4,5,4,2,5,5,4,4,5,5,5,4,4,4,4,2,1,3,4,2,1,2,2023/9/25 21:10,347,not,True
4,2,3,4,5,4,4,4,4,2,3,1,4,3,2,2,4,3,4,2,2,4,4,2,4,4,5,4,5,4,2,4,1,2,3,1,1,1,1,2023/9/26 00:50,299,not,True
2,1,2,3,2,3,3,3,4,1,1,2,1,2,2,2,1,3,4,3,1,4,3,1,2,1,2,2,3,3,2,3,1,3,3,5,1,3,4,2023/9/26 08:41,109,not,True
1,2,1,5,4,4,4,3,4,2,2,2,4,3,4,1,3,2,3,3,2,5,5,5,5,4,1,3,1,3,1,3,1,1,2,1,1,1,1,2023/9/26 08:43,272,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,1,3,2,2,1,1,2023/9/26 09:11,58,not,False
4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,2,2,4,1,1,2,2023/9/26 11:06,4042,not,True
4,3,3,4,4,3,5,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,2,3,2,5,2,1,3,2023/9/26 11:46,165,not,True
3,3,3,3,2,2,3,1,4,4,3,3,3,2,4,4,3,4,2,2,3,4,3,3,2,3,4,3,3,2,4,4,2,1,2,1,1,2,1,2023/9/26 14:19,48,not,False
5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,4,4,4,4,4,5,5,3,3,5,5,5,5,5,5,5,1,1,3,1,1,1,1,2023/9/26 14:38,82,not,False
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,1,2,3,3,1,2,2,2023/9/26 16:25,39,not,False
3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,4,3,4,5,4,4,3,4,3,3,3,2,1,3,3,1,1,1,2023/9/26 18:05,293,not,True
3,3,2,4,4,4,4,4,4,3,2,4,4,4,3,4,4,3,4,4,4,3,3,4,3,5,3,3,4,4,3,5,1,1,2,1,2,2,2,2023/9/26 18:22,95,not,True
5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,1,1,2,1,2,1,1,2023/9/26 19:45,72,not,False
3,3,2,4,4,4,4,4,3,2,2,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,3,3,2,1,3,1,2,1,1,2023/9/26 20:02,516,not,True
5,4,4,5,5,4,4,4,5,4,5,5,4,4,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5,2,2,2,1,1,1,3,2023/9/26 20:41,136,not,True
3,2,2,4,4,4,4,4,4,3,3,2,4,2,2,4,2,3,4,4,2,4,4,4,4,4,4,4,4,4,3,4,2,1,3,4,2,1,1,2023/9/26 21:16,247,not,True
4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,2,2,4,3,4,2,4,3,2,4,3,4,4,4,4,4,3,2,2,2,2,2,1,1,2023/9/26 22:03,337,not,True
4,4,3,4,4,4,4,4,4,3,4,4,4,2,2,2,3,4,3,3,3,3,3,4,4,2,4,4,4,4,3,3,2,2,2,4,2,1,3,2023/9/26 23:50,280,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,2,1,1,2023/9/27 00:56,77,same,False
5,3,4,4,4,5,5,4,4,4,5,4,5,4,4,4,5,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,2,2,2,3,1,1,3,2023/9/27 12:14,1476,not,True
2,2,1,3,2,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,2,2,2,1,2,5,2,1,1,2023/9/27 16:01,286,not,True
3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,4,4,4,3,3,2,4,2,1,1,4,5,2023/9/27 22:28,359,not,True
3,3,2,4,4,4,4,4,4,2,2,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,3,4,1,3,2,5,1,1,4,2023/9/28 12:41,109,not,True
3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,1,2,3,5,1,3,3,2023/9/28 16:08,351,not,True
4,4,3,5,4,5,5,5,5,4,5,4,3,4,3,3,4,5,5,4,4,4,4,3,3,5,5,5,5,5,5,5,2,1,3,5,2,1,1,2023/9/28 16:40,196,not,True
3,3,2,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,3,3,1,1,3,5,1,1,1,2023/9/28 22:59,170,not,True
2,3,2,4,3,2,4,3,3,1,1,1,3,3,3,4,4,4,4,2,3,3,2,2,2,3,4,2,3,3,3,2,1,2,3,2,1,1,2,2023/9/28 23:03,367,not,True
3,3,3,4,4,3,3,3,4,2,2,2,4,4,2,4,4,3,1,1,1,2,2,1,2,2,4,4,4,2,2,2,1,2,3,5,1,1,1,2023/9/29 00:02,77,not,False
3,4,1,4,1,1,4,4,5,5,5,1,1,1,1,4,4,4,4,4,2,5,5,1,5,5,5,5,5,5,3,3,1,2,3,5,1,2,2,2023/9/29 05:38,228,not,True
4,4,3,3,4,3,4,4,4,3,3,4,5,3,4,2,3,4,4,4,3,3,3,3,3,2,2,4,4,4,3,3,2,1,2,5,2,1,2,2023/9/29 06:14,268,not,True
5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,1,5,5,1,1,5,1,1,1,1,5,5,5,5,5,5,2,1,2,2,2,1,2,2023/9/29 08:17,499,not,True
4,4,4,5,4,5,5,5,5,5,5,5,3,3,4,4,4,5,5,5,5,4,5,4,5,4,5,5,4,5,5,5,1,3,2,2,2,1,3,2023/9/29 08:17,249,not,True
4,4,3,4,3,4,4,4,4,3,4,3,2,2,2,2,2,3,4,3,1,4,3,3,4,3,5,4,4,4,4,3,2,1,2,1,2,1,1,2023/9/29 09:06,213,not,True
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,2,3,3,3,2,1,2,2023/9/29 20:58,327,not,True
4,4,3,5,4,4,4,4,5,5,4,4,2,2,1,1,2,2,1,1,1,2,2,3,4,2,4,4,4,4,3,3,2,1,2,5,2,1,1,2023/9/29 21:30,140,not,True
2,2,2,4,4,4,2,4,4,4,4,3,5,5,2,1,2,4,5,5,1,4,4,2,4,1,5,4,4,3,3,3,2,1,2,5,2,1,1,2023/9/29 21:46,348,not,True
4,4,3,4,4,3,3,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,1,2,2,2,1,2,2023/9/29 23:52,113,not,True
3,3,3,5,5,5,4,4,4,5,5,4,3,3,2,3,2,4,3,4,3,4,4,4,4,4,5,5,5,3,4,3,1,2,2,1,2,1,2,2023/9/30 08:27,278,not,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,2,1,3,2023/9/30 11:07,192,same,True
3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,3,2,4,2,2,4,2023/9/30 12:51,157,not,True
3,3,3,5,4,4,5,5,5,3,4,3,1,1,3,3,4,4,4,4,3,4,1,1,4,4,4,5,5,5,5,5,1,2,2,1,1,1,2,2023/10/1 00:54,343,not,True
4,5,4,4,4,4,5,5,5,4,5,3,4,4,4,5,5,5,4,5,5,4,5,3,3,4,4,5,5,4,4,4,1,1,3,1,2,1,1,2023/10/1 10:43,109,not,True
3,3,3,5,5,5,3,3,3,4,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,4,3,3,1,3,2,1,2,1,3,2023/10/1 10:56,468,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,2,1,1,2023/10/1 13:07,144,same,True
3,3,3,5,4,4,4,4,4,4,5,5,3,3,2,3,4,4,4,4,3,4,5,5,4,4,5,5,5,5,4,5,1,1,3,3,1,1,1,2023/10/2 00:14,552,not,True
3,3,3,3,3,3,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,2,1,2,1,3,2023/10/2 10:56,360,not,True
5,5,5,3,4,4,4,5,5,2,4,5,5,5,5,5,5,5,4,5,5,4,1,1,5,5,5,5,5,5,4,5,1,1,2,4,1,1,1,2023/10/2 11:23,294,not,True
4,4,4,5,2,4,4,5,4,3,4,5,3,2,2,3,3,4,3,2,2,3,2,3,4,4,4,4,4,4,3,4,1,2,2,2,1,1,2,2023/10/2 11:29,366,not,True
4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,2,2,2,2,1,1,1,2023/10/2 12:27,451,not,True
4,4,3,5,4,5,4,4,3,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,1,4,2,4,2,1,5,2023/10/2 12:30,289,not,True
3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,4,2,1,4,2023/10/2 12:45,425,not,True
4,4,4,4,4,4,4,4,3,2,3,4,4,4,2,4,4,3,4,4,2,3,3,4,2,3,4,4,4,4,4,3,1,1,2,4,2,1,1,2023/10/2 13:59,6802,not,True
4,5,5,4,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,2,2,2,1,2,1,3,2023/10/2 14:58,761,not,True
4,4,4,5,4,4,5,5,5,3,1,4,4,4,4,4,4,4,3,3,3,3,3,2,3,4,5,5,5,5,3,4,1,1,2,2,1,1,1,2023/10/2 18:07,447,not,True
4,3,4,5,5,4,5,5,5,3,4,4,3,4,2,2,3,3,3,4,2,4,4,3,4,2,4,4,4,5,4,4,1,2,2,1,2,2,3,2023/10/2 18:15,202,not,True
3,2,2,4,3,4,5,4,5,4,2,2,2,4,2,2,2,4,4,4,2,4,2,2,2,4,4,2,2,4,2,2,2,1,3,4,1,1,1,2023/10/3 08:08,286,not,True
4,4,2,4,4,4,3,4,4,2,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,3,3,3,1,2,3,4,1,2,3,2023/10/3 20:10,198,not,True
3,3,3,3,3,3,4,3,3,3,4,3,3,2,1,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,5,1,1,2,4,2,1,1,2023/10/3 20:57,438,not,True
3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,3,4,1,1,2,4,2,1,2,2023/10/3 21:19,267,not,True
3,3,3,4,3,4,5,5,5,4,5,2,2,2,2,3,3,3,2,2,2,2,2,2,3,1,3,3,4,4,4,3,2,3,2,3,1,1,3,2023/10/4 03:23,294,not,True
4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,3,3,1,2,4,4,2023/10/4 09:10,340,not,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,2023/10/4 10:08,70,same,False
4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,5,4,4,4,4,1,3,3,1,1,3,4,2023/10/4 10:22,712,not,True
4,4,4,5,4,5,4,4,5,3,4,4,2,2,2,2,2,2,3,3,2,4,4,2,3,4,4,4,4,4,4,4,2,2,2,1,1,1,2,2023/10/4 10:28,281,not,True
4,4,3,5,4,4,5,5,5,4,5,4,2,2,2,2,2,2,4,4,4,3,3,4,4,4,5,5,5,5,4,4,1,4,3,1,2,4,5,2023/10/4 10:49,274,not,True
4,4,4,4,4,4,5,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,3,2,5,1,3,3,2023/10/4 12:20,389,not,True
4,4,4,5,5,4,5,5,5,3,4,3,3,4,2,4,3,2,2,2,2,4,3,3,3,2,5,5,5,4,4,3,1,4,3,5,2,2,5,2023/10/4 12:39,480,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3,5,1,1,5,2023/10/4 12:45,324,not,True
3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,4,3,3,1,3,4,2023/10/4 13:11,7923,not,True
4,4,3,4,3,4,3,4,4,4,4,4,3,3,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,3,3,3,1,4,3,2,1,1,5,2023/10/4 13:16,339,not,True
4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,4,3,3,2,3,4,2023/10/4 13:54,313,not,True
4,4,4,5,4,5,4,4,4,4,4,4,3,3,2,3,4,4,4,5,3,5,3,3,4,4,4,4,5,4,4,4,1,4,3,1,1,3,5,2023/10/4 14:06,279,not,True
2,2,2,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,4,4,2,3,3,5,1,1,5,2023/10/4 14:20,2528,not,True
3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,1,2,4,5,2023/10/4 17:02,131,not,True
4,4,3,4,2,4,3,5,5,3,5,2,3,4,3,4,4,4,3,2,3,4,3,2,4,4,3,3,4,4,3,3,2,1,2,3,2,1,2,2023/10/4 22:56,371,not,True
4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,3,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,2,2,3,2,2,1,1,2023/10/5 07:30,230,not,True
4,3,3,4,3,4,5,4,4,2,3,3,5,5,5,5,5,5,3,3,2,3,3,1,2,3,4,4,4,5,2,3,1,1,2,3,1,1,1,2023/10/5 08:50,94,not,True
4,4,4,5,4,5,4,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,1,3,2,1,2,2,4,2023/10/5 10:32,476,not,True
3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,1,4,2,4,2,1,5,2023/10/5 13:38,512,not,True
4,4,4,3,4,4,4,4,5,4,4,4,4,5,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,4,3,4,2,2,3,4,2,1,1,2023/10/5 17:08,108,not,True
4,4,4,4,4,4,5,5,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,1,1,3,1,1,1,1,2023/10/5 21:33,1111,not,True
3,3,2,4,3,4,3,4,3,3,4,2,2,2,1,4,4,4,4,2,3,4,3,3,4,4,3,4,4,3,3,2,2,1,2,2,2,1,1,2023/10/5 21:46,320,not,True
4,4,4,5,5,5,5,5,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,5,4,3,5,5,5,5,5,5,1,2,2,2,2,1,2,2023/10/6 08:36,1647,not,True
3,3,3,3,4,4,4,3,3,4,3,4,2,3,2,3,3,3,3,3,2,1,2,3,3,3,4,4,4,4,3,3,1,3,2,5,2,2,4,2023/10/6 12:22,677,not,True
4,3,3,4,4,2,4,3,4,4,4,3,4,1,3,2,2,3,2,2,2,3,2,2,2,3,4,4,4,5,5,4,1,2,2,5,2,1,2,2023/10/6 16:17,251,not,True
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,5,1,1,2,2023/10/6 17:37,96,not,True
3,4,1,4,3,5,5,5,5,4,4,5,5,4,3,4,4,4,5,5,5,4,4,4,5,5,4,4,4,5,3,4,1,2,2,3,1,1,2,2023/10/7 21:16,226,not,True
3,3,3,3,3,4,3,3,3,3,3,4,3,3,2,2,2,3,2,3,2,2,2,4,3,2,3,3,4,3,3,3,2,1,2,1,2,1,2,2023/10/7 21:18,160,not,True
3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,1,3,3,1,2,4,3,2023/10/7 21:21,262,not,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,2,4,5,4,1,4,4,4,3,4,4,1,3,2,1,2,2,5,2023/10/7 21:42,210,not,True
4,4,4,5,4,5,5,5,5,3,4,5,4,5,3,3,3,4,5,5,5,4,4,5,5,5,5,5,4,5,4,4,2,2,2,4,1,1,2,2023/10/7 22:46,255,not,True
3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,5,1,1,1,2023/10/7 23:06,283,not,True
4,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,4,3,3,4,5,5,5,4,4,3,2,1,2,5,1,3,2,2023/10/8 00:24,313,not,True
4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2,2,4,3,2,2,4,4,2,4,4,4,3,3,3,2,3,2,4,2,1,5,2023/10/8 12:01,147,not,True
4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,2,3,3,4,4,4,2,3,3,3,4,4,4,4,3,4,2,3,2,4,2,1,5,2023/10/8 12:45,340,not,True
4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,2,2,3,5,2,1,1,2023/10/8 12:52,323,not,True
4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,4,2023/10/8 13:00,364,not,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,3,2,2,2,5,2023/10/8 16:36,305,same,True
3,4,4,5,3,4,5,5,5,3,5,2,1,1,1,2,2,2,3,5,1,3,2,2,5,3,5,5,5,5,5,5,2,1,2,1,2,1,1,2023/10/8 17:54,313,not,True
4,5,4,5,5,5,5,5,5,4,4,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,5,5,5,4,3,3,1,1,3,4,2,1,1,2023/10/8 18:45,239,not,True
2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,1,1,2,1,1,1,1,2023/10/8 20:17,52,not,False
3,3,3,3,4,4,4,5,5,4,4,5,3,4,3,3,4,4,3,4,3,3,3,3,3,4,5,5,5,5,5,5,2,3,4,5,2,3,5,2023/10/8 21:31,352,not,True
3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,4,5,3,2,5,4,4,4,4,4,4,4,2,1,2,2,1,2,1,2023/10/8 23:13,363,not,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,2023/10/8 23:50,81,same,False
